Время,Канал A
(mс),(В)

-0.69999179,-0.00909452
-0.69967179,0.06134221
-0.69935179,0.13177890
-0.69903179,0.20227670
-0.69871179,0.27277440
-0.69839179,0.34321110
-0.69807179,0.41370890
-0.69775179,0.44892730
-0.69743179,0.50178530
-0.69711179,0.57228310
-0.69679179,0.62514110
-0.69647179,0.66035950
-0.69615179,0.69563890
-0.69583179,0.71321760
-0.69551179,0.74849690
-0.69519179,0.74849690
-0.69487179,0.76607560
-0.69455179,0.74849690
-0.69423179,0.74849690
-0.69391179,0.73085730
-0.69359179,0.69563890
-0.69327179,0.66035950
-0.69295179,0.62514110
-0.69263179,0.57228310
-0.69231179,0.53706470
-0.69199179,0.48420670
-0.69167179,0.41370890
-0.69135179,0.34321110
-0.69103179,0.27277440
-0.69071179,0.20227670
-0.69039179,0.11420030
-0.69007179,0.04376354
-0.68975179,-0.02673421
-0.68943179,-0.11481060
-0.68911179,-0.18530840
-0.68879179,-0.25580610
-0.68847179,-0.34388260
-0.68815179,-0.41438030
-0.68783179,-0.46723840
-0.68751179,-0.53767510
-0.68719179,-0.59053310
-0.68687179,-0.64339120
-0.68655179,-0.69624920
-0.68623179,-0.71388900
-0.68591179,-0.74910740
-0.68559179,-0.78438680
-0.68527179,-0.80196540
-0.68495179,-0.80196540
-0.68463179,-0.80196540
-0.68431179,-0.78438680
-0.68399179,-0.76674710
-0.68367179,-0.74910740
-0.68335179,-0.71388900
-0.68303179,-0.67867060
-0.68271179,-0.62581250
-0.68239179,-0.57295450
-0.68207179,-0.52009640
-0.68175179,-0.44959870
-0.68143179,-0.37910090
-0.68111179,-0.30866420
-0.68079179,-0.22052680
-0.68047179,-0.15009000
-0.68015179,-0.06195258
-0.67983179,0.00848415
-0.67951179,0.11420030
-0.67919179,0.18463700
-0.67887179,0.27277440
-0.67855179,0.34321110
-0.67823179,0.43134860
-0.67791179,0.50178530
-0.67759179,0.57228310
-0.67727179,0.62514110
-0.67695179,0.67799920
-0.67663179,0.74849690
-0.67631179,0.78371530
-0.67599179,0.81893370
-0.67567179,0.83657340
-0.67535179,0.87179170
-0.67503179,0.87179170
-0.67471179,0.87179170
-0.67439179,0.85421310
-0.67407179,0.85421310
-0.67375179,0.83657340
-0.67343179,0.78371530
-0.67311179,0.74849690
-0.67279179,0.69563890
-0.67247179,0.62514110
-0.67215179,0.57228310
-0.67183179,0.50178530
-0.67151179,0.43134860
-0.67119179,0.36085090
-0.67087179,0.27277440
